"Data de referência dos dados: 04 de setembro de 2020","","","","","","","","","","","","","",""
"Empreendimento","Tipo","Status","UF","Potência","Curso d'água","Sub-bacia","Processo","Resolução","Empreendedores","Ato","Data ato","Validade ato","Latitude Eixo Barramento","Longitude Eixo Barramento"
"do Cobre","PCH","DRS-PCH","PR","19","Piquiri","Parana, Paranapanema, Amambai e outros","48500.003088/2010-97","875/2020","Statkraft Energias Renováveis S.A. ","2.434","10/25/2018","10/25/2021","25°3'35""S","52°21'32""W"
"Do Tombo","PCH","DRS-PCH","MG","16","Jaguari","Parana, Tiete e outros","48500.003207/2016-05","875/2020","CPFL Energias Renováveis S.A. ","1412","6/28/2018","6/28/2021","22°50'0,76""S","46°7'56,74""W"
"Dois Faróis","PCH","DRS-PCH","PR","5.04","Palmital","Parana, Iguacu","48500.002929/2015-53","875/2020","Hidroelétrica Dois Faróis Geração de Energia Ltda. ","2.213","7/31/2020","6/3/2023","26°01'06""S","51°09'48""W"
"Dois Vizinhos","UHE","DRI-UHE","PR","36.7","Chopim","Parana, Iguacu","48500.000681/2019-10","875/2020","BE - Empresa de Estudos Energéticos S.A.; Companhia Paranaense de Energia - COPEL; Minas PCH S.A. e Silea Participações Ltda.","608","3/6/2019","5/6/2020","25°41'1""S","53°1'10""W"
"Dom Antônio","PCH","DRS-PCH","PR","9.5","Andrada","Parana, Iguacu","48500.005640/2014-13","875/2020","Agathon Participações Ltda. ","97/2016 (Comunicado nº 02/2019)","","","25°21'12,92""S","53°28'36,35""W"
"Dona Amélia II","PCH","DRS-PCH","PR","9.9","Andrada","Parana, Iguacu","48500.005643/2014-49","875/2020","Agathon Participações Ltda. ","326/2016 (Comunicado nº 05/2019)","","","25°19'4,24""S","53°27'35,53""W"
"Dona Inês","PCH","DRS-PCH","MS","7.5","Córrego Benjamim","Alto Paraguai","48500.003735/2016-56","875/2020","Dona Inês Geração de Energia Elétrica Ltda. ","3.713","11/10/2017","11/10/2020","17°44'37,1""S","54°50'41,46""W"
"Dos Gatos","PCH","DRS-PCH","RS","21","Jaguari","Ibicui","48500.001351/2011-94","875/2020","Hidrotérmica S.A. ","580","2/26/2020","12/28/2022","29°15'51""S","54°25'56""W"
"Dos Morros","PCH","DRS-PCH","RS","21","Jaguari","Ibicui","48500.001355/2011-72","875/2020","Hidrotérmica S.A. ","225","2/19/2020","12/27/2022","29°18'31""S","54°27'22""W"
"Duas Pontes","PCH","DRS-PCH","RS","25","da Várzea","Uruguai, Varzea, Turvo e outros","48500.003839/2016-61","875/2020","PEC Energia S.A. ","555","2/26/2020","2/15/2023","27°19'14""S","53°16'29""W"
"Duque de Caxias","PCH","DRS-PCH","RS","6.5","da Prata","Taquari","48500.000584/2012-51","875/2020","Minozzo Serviços e Comercio de Materias para Comunicação Ltda. ","2387","8/10/2017","8/10/2020","28°49'42""S","51°29'39""W"
"E20CA205","PCH","DRS-PCH","RS","30","Carreiro","Taquari","48500.001768/2016-61","875/2020","Enel Brasil S.A. ","2839","9/18/2017","9/18/2020","28°53'39,64""S","51°48'20,99""W"
"E6","PCH","DRI-PCH","SC","6.1","do Peixe","Uruguai, Inhanduva, Peixe e outros","48500.003835/2019-25","875/2020","Msul Energias Renováveis Ltda ","2230","8/14/2019","10/14/2020","27°1'40,27""S","51°13'42,03""W"
"Edelweiss","PCH","DRS-PCH","RS","6","Guarita","Uruguai, Varzea, Turvo e outros","48500.000123/2007-21","875/2020","Guarita Geradora de Energia Ltda. ","1.917","7/7/2020","5/31/2023","27°35'21,07""S","53°34'52,86""W"
"Edgard de Souza","PCH","DRS-PCH","SP","11.96","Tietê","Parana, Tiete e outros","48500.003616/2003-71","875/2020","EMAE Empresa Metropolitana de Águas Energia S/A ","1.899","7/1/2020","7/1/2023","23°27'16""S","46°54'35""W"
"Eixo B1A","PCH","DRS-PCH","MG","5.3","São João","Grande","48500.008671/2008-70","875/2020","GALLWAY Projetos e Energia do Brasil S.A. ","1611","6/21/2017","6/21/2020","20°55'50""S","46°38'57""W"
"Eleutério","PCH","DRS-PCH","SP","7","Mogi-Guaçu","Grande","48500.001846/2012-02","875/2020","SPE PCH S.A. ","2.787","12/14/2019","12/14/2022","22°17'11,24""S","46°45'57,41""W"
"Embocado","PCH","DRS-PCH","GO","6.8","dos Bois","Paranaiba","48500.003151/2011-76","875/2020","FR Incorporadora Ltda. ","25","1/8/2020","12/2/2022","17°4'52,813""S","48°34'49,56""W"
"Emparedado Alto","UHE","DRI-UHE","MG","44.9","Suaçuí Grande","Doce","48500.002607/2018-57","875/2020","EBDE Energia S.A. ","1.257","6/8/2018","8/8/2019","18°21'40,97""S","42°31'57,41""W"
"Encano","PCH","DRS-PCH","SC","12","Itajaí-Açu","Itajai","48500.006172/2005-98","875/2020","Encano Energia Ltda. ","2838","9/11/2017","9/11/2020","26°52'55,87""S","49°11'9,01""W"
"Engenheiro Beltrão","PCH","DRS-PCH","PR","5.2","Mourão","Parana, Paranapanema, Amambai e outros","48500.006269/2008-51","875/2020","Engenheiro Beltrão Energia Ltda. ","1.218","5/5/2020","12/23/2022","23°50'56,705""S","52°14'38,924""W"
"Engenheiro Érico Bitencourt de Freitas","UHE","DRS-UHE","GO","39.5","Claro","Paranaiba","48500.003770/2011-61","875/2020","CELG Geração e Transmissão S.A.; FR Incorporadora Ltda.; ","2.906","9/13/2017","9/13/2020","18°24'11""S","51°13'27""W"
"Engenho Velho","PCH","DRS-PCH","PR","12","Iratim","Parana, Iguacu","48500.004876/2008-86","875/2020","CER - Companhia de Energias Renováveis ","1616","6/12/2017","6/12/2020","26°9'2,46""S","51°52'4,51""W"
"Entre Ijuís","PCH","DRI-PCH","RS","10.06","Ijuí","Uruguai, Ijui, piratinim e outros","48500.001964/2020-12","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda.; Frigorífico Nutribrás S.A.; Enebras Tecnologia Industrial Ltda., Coprel Cooperativa
de Geração de Energia e Desenvolvimento, Cooperativa de Geração de Energia e Desenvolvimento Social Ltda.","1.396","5/20/2020","7/20/2021","28°20'54,8""S","54°17'17,95""W"
"Entre Pontes","PCH","DRS-PCH","GO","21","Meia Ponte","Paranaiba","48500.006817/2010-67","875/2020","Energias Complementares do Brasil Geração de Energia Elétrica S.A. ","2774","10/11/2019","12/2/2022","17°30'33,33""S","49°17'36,074""W"
"Entre Rios","PCH","DRS-PCH","MT","28","das Mortes","Araguaia, trecho da ilha Bananal","48500.000801/2015-55","875/2020","Entre Rios Energia Ltda. ","1.218","5/5/2020","3/24/2023","15°15'34,98""S","53°58'50,5""W"
"Ercilândia","UHE","Aceito","PR","96.6","Piquiri","Parana, Paranapanema, Amambai e outros","48500.001820/2010-94 e 48500.005191/2010-71","875/2020","Copel Geração e Transmissão S.A e Statkraft Energias Renováveis S.A. ","1.137 (Pub. 10/04/2012) e 257 (26/01/2012)","","","24°12'18,794""S","53°40'14,103""W"
"Ervalzinho Baixo","PCH","DRS-PCH","PR","19.98","Piquiri","Parana, Paranapanema, Amambai e outros","48500.003091/2010-19","875/2020","Omega Desenvolvimento de Energia 1 S.A. ","2.341","8/10/2017","8/10/2020","24°58'52""S","52°11'58""W"
"Escada","PCH","DRS-PCH","MG","20","Paranaiba","Paranaiba","48500.003355/2014-50","875/2020","Minas PCH S.A.; Energest S.A.; ","2.523","9/1/2020","7/7/2023","18°15'21,32""S","47°8'14,24""W"
"Esmeril Alta","PCH","DRS-PCH","GO","12","Claro","Alto Araguaia e rio Claro","48500.003288/2014-73","875/2020","Energias Complementares do Brasil Geração de Energia Elétrica S.A.; Celg Geração e Transmissão S.A; Sonnen Empreendimentos e Participações Ltda.","2718","10/9/2019","12/22/2022","16°24'5,6""S","50°56'20,73""W"
"Esperança","PCH","DRS-PCH","MT","24.25","das Garças","Alto Araguaia e rio Claro","48500.005582/2011-77","875/2020","Garças Energia e Participações S.A; DESA Rio Das Garças Desenvolvimento Energético AS; ","68/2017 (Comunicado 7/2020)","","","15°48'7,13""S","53°11'12,44""W"
"Espraiado","PCH","DRS-PCH","SC","29","Timbó","Parana, Iguacu","48500.004982/2014-16","875/2020","Cia. Bom Sucesso de Eletricidade ","511/2016 (Cautelar nº 1936/2019)","","","26°30'31""S","50°47'2""W"
"Esteira","PCH","DRS-PCH","RS","6.6","Quebra Dentes","Taquari","48500.004001/2018-56","875/2020","Energética Quebra Dentes S.A. ","3.568","12/18/2019","12/18/2022","28°43'29,782""S","50°54'19,836""W"
"Estrela","UHE","DRS-UHE","GO","48.4","Verde","Paranaiba","48500.002033/2013-11","875/2020","EST Energia S.A. ","1.052","4/16/2020","2/16/2021","18°29'45""S","51°39'16""W"
"Fazenda Salto","PCH","DRS-PCH","MG","14","Claro","Paranaiba","48500.004141/2002-41","875/2020","Salto Fé Energética S.A. ","45/2016 (Comunicado nº 02/2019","","","19°8'11""S","47°50'23""W"
"Fazenda Velha","PCH","DRS-PCH","RS","7.3","Turvo","Taquari","48500.001365/2016-12","875/2020","Vale do Turvo Hidrelétrica Ltda. ","2.523","9/1/2020","7/12/2023","28°34'11,99""S","51°24'24,09""W"
"Fênix","PCH","DRS-PCH","PR","10","Corumbataí","Parana, Paranapanema, Amambai e outros","48500.004741/2015-40","875/2020","Corumbataí Energia Ltda. ","1.436","5/21/2020","4/6/2023","23°56'16,95""S","51°57'10""W"
"Ferradura","PCH","DRS-PCH","MG","23.5","Santo Antônio","Doce","48500.001638/2007-67","875/2020","Tazem Participações S.A. ","627","3/29/2018","3/29/2021","19°13'56,88""S","42°54'39,98""W"
"Figueira Branca","PCH","DRS-PCH","SP","20.207","Pardo","Parana, Paranapanema, Amambai e outros","48500.006504/2007-11","875/2020","Hidrotérmica S.A. ","2.213","7/31/2020","6/10/2023","22°54'21""S","49°27'48""W"
"Figueirão","PCH","DRS-PCH","MS","9","Jauru","Alto Paraguai","48500.005946/2014-61","875/2020","Juruena Energia S.A. ","1.270","5/17/2019","6/8/2022","18°34'45,3""S","54°14'4,9""W"
"Figueirinha I","PCH","DRS-PCH","MG","13.5","Corrente Grande","Doce","48500.001165/2009-31","875/2020","CEI - Energética Integrada Ltda. ","2.224","10/11/2018","9/21/2021","18°56'53""S","42°34'11""W"
"Floresta","PCH","DRS-PCH","RS","19.5","Jacuizinho","Alto Jacui","48500.001078/2015-21","875/2020","Floresta Empreendimentos em Energia S.A. ","13","1/7/2019","3/14/2022","29°16'17""S","53°8'44,2""W"
"Fogos","PCH","DRS-PCH","MG","13.6","São Miguel","Verde Grande - Sao Francisco","48500.005142/2006-72","875/2020","Morada Construção Terraplanagem e Pavimentação Ltda. ","2713","10/8/2019","8/1/2022","15°57'12,93""S","46°25'9,01""W"
"Formoso","UHE","Registro Ativo","MG","306","São Francisco","Das Velhas - Sao Francisco","48500.001983/2017-43","875/2020","SPE Formoso Energia S.A.; Tractebel Engineering Ltda.; ","1.681","6/12/2020","4/17/2022","17°28'10""S","44°57'10""W"
"Formoso","PCH","DRS-PCH","GO","9.8","Formoso","Paranaiba","48500.006511/2018-68","875/2020","Cachoeira Energia Ltda. ","103","7/31/2020","7/31/2023","18°24'32""S","52°31'20""W"
"Formoso I","PCH","DRS-PCH","MT","12.5","Formoso","Alto Paraguai","48500.005663/2011-77","875/2020","Itamarati Norte S.A - Agropecuária ","327","2/10/2020","12/27/2022","14°35'54,364""S","57°54'22,857""W"
"Formoso II","PCH","DRS-PCH","MT","13.5","Formoso","Alto Paraguai","48500.005662/2011-22","875/2020","Itamarati Norte S.A - Agropecuária ","328","2/10/2020","1/2/2023","14°38'36""S","57°51'33""W"
"Formoso III","PCH","DRS-PCH","MT","27","Formoso","Alto Paraguai","48500.005661/2011-88","875/2020","Itamarati Norte S.A - Agropecuária ","329","2/10/2020","1/25/2023","14°40'26,69""S","57°50'14,68""W"
"Forquilha II","PCH","DRS-PCH","RS","7.5","Forquilha","Uruguai, Inhanduva, Peixe e outros","48500.006424/2017-20","875/2020","Vertente Engenharia Ltda. ","1919","7/10/2019","7/10/2022","27°37'49""S","51°44'19""W"
"Fortaleza","PCH","DRS-PCH","SC","8.6","das Antas","Uruguai, Varzea, Turvo e outros","48500.000723/2015-99","875/2020","Laranjal Energia Ltda.; Ecoz - Empreendimentos Imobiliários Ltda.; ","1.291","5/17/2019","2/16/2022","26°52'23""S","53°24'16""W"
"Foz","PCH","DRS-PCH","PR","7","Santana","Parana, Iguacu","48500.006142/2008-31","875/2020","GRX Engenharia Ltda. ","774","3/19/2020","12/20/2022","25°56'9,686""S","52°52'25,77""W"
"Foz do Apiacás","UHE","Aceito","MT","275","Apiacás","Tapajos","48500.004786/2006-80","875/2020","Empresa de Pesquisa Energética - EPE ","1242","5/6/2010","","9°12'24""S","57°5'15""W"
"Foz do Bandeira","PCH","DRS-PCH","MT","18","das Garças","Parana, Verde , Peixe, e outros","48500.006169/2011-20","875/2020","PEC Energia Ltda. ","776","3/19/2020","1/2/2023","16°14'45,31""S","53°37'03,74""W"
"Foz do Batovi","PCH","DRS-PCH","MT","22.5","das Garças","Alto Araguaia e rio Claro","48500.005583/2011-11","875/2020","Garças Energia e Participações S/A; DESA Rio das Garças Desenvolvimento Energético S/A; ","133/2017 (Comunicado 07)","","","15°53'41,547""S","53°17'32,629""W"
"Foz do Biriba","PCH","DRS-PCH","RS","6.2","Pardo","Alto Jacui","48500.004590/2011-04","875/2020","Três Fronteiras Geração de Energia Ltda. ","1.218","5/5/2020","3/24/2023","29°26'18,76""S","52°46'20,9""W"
"Foz do Buriti (Antiga A2E18)","PCH","DRS-PCH","MT","24","Buriti","Tapajos","48500.000493/2015-68","875/2020","Atiaia Energia S.A. ","524","2/21/2020","5/20/2022","12°52'2,75""S","58°23'59,67""W"
"Foz do Capão Grande","PCH","DRS-PCH","PR","11.2","Capão Grande","Parana, Iguacu","48500.003887/2011-44","875/2020","Reinhofer Energia Ltda. ","163/2019 (Comunicado nº 04/2019)","","","25°45'34""S","52°1'23""W"
"Foz do Chapecozinho","PCH","DRS-PCH","SC","26.6","Chapecó","Uruguai, Chapeco,Passo Fundo e outros","48500.007838/2008-85","875/2020","Enerbios Consultoria em Energias Renováveis e Meio Ambiente Ltda. ","1022","5/10/2018","10/1/2021","26°45'12""S","52°37'57""W"
"Foz do Corrente Baixo","PCH","DRS-PCH","GO","19","Corrente","Paranaiba","48500.000353/2014-17","875/2020","FR Incorporadora Ltda. ","1.700","6/14/2019","7/19/2022","19°12'30""S","50°55'58""W"
"Foz do Corrente I","PCH","DRS-PCH","GO","26","Corrente","Paranaiba","48500.000274/2014-06","875/2020","Minas PCH S.A.; Guerra Lage Engenheiros Associados Ltda.; ","49","1/13/2020","11/25/2022","19°7'50""S","51°4'13""W"
"Foz do Curucaca","PCH","DRS-PCH","PR","30","Chopim","Parana, Iguacu","48500.000843/2017-58","875/2020","Copel Geração e Transmissão S.A. ","61","1/13/2020","1/13/2023","26°15'17,88""S","52°23'34,62""W"
"Foz do Jacutinga","PCH","DRS-PCH","RS","5.5","Forqueta","Taquari","48500.000612/2009-34","875/2020","Electra Power Geração de Energia S.A; Geopar - Participações Ltda; Cooperativa Regional de Desenvolvimento Teutônia - CERTEL","1.029","4/10/2019","1/26/2022","29°1'56""S","52°13'11""W"
"Foz do Piquiri","UHE","Aceito","PR","101.2","Piquiri","Parana, Paranapanema, Amambai e outros","48500.001822/2010-83 e 48500.005198/2010-93","875/2020","Copel Geração e Transmissão S.A E Statkraft Energias Renováveis S.A./BE - Empresa de Estudos Energéticos Ltda ","1139 (Pub. 10/04/2012) e 2596 (Pub. 21/08/2012)","","","24°7'30""S","53°59'27""W"
"Foz do Prata","PCH","DRS-PCH","RS","9.3","Turvo","Taquari","48500.000960/2013-98","875/2020","Vale do Turvo Hidrelétrica Ltda. ","3.227","11/26/2019","1/25/2023","28°50'13,888""S","51°26'57,338""W"
"Foz do Prata (Antiga E01A)","UHE","DRS-UHE","RS","49.365","da Prata","Taquari","48500.000798/2015-70","875/2020","Alupar Investimento S.A. ","255","2/3/2020","2/3/2023","28°59'33""S","51°28'15""W"
"Foz do Rio do Peixe","PCH","DRS-PCH","GO","17","do Peixe","Paranaiba","48500.003165/2011-90","875/2020","FR Incorporadora Ltda. ","26","1/8/2020","12/2/2022","17°33'39,18""S","48°30'12,7""W"
"Foz do Rio dos Bois","PCH","DRS-PCH","GO","8.4","do Peixe","Paranaiba","48500.003153/2011-65","875/2020","FR Incorporadora Ltda. ","27","1/8/2020","11/29/2022","17°8'10,67""S","48°34'40,1""W"
"Foz do Saijú","PCH","DRI-PCH","MS","22.1","Amambaí","Parana, Paranapanema, Amambai e outros","48500.001803/2018-12","875/2020","ECOGER - Ecologino Geração de Energia em Matriz Renovável Ltda. ","2.224","8/16/2019","2/17/2020","22°53'16""S","54°45'4""W"
"Foz do Segredinho","PCH","DRS-PCH","RS","8.7","Turvo","Taquari","48500.000950/2013-52","875/2020","Vale do Turvo Hidrelétrica Ltda. ","3.228","11/26/2019","1/25/2023","28°41'48,775""S","51°26'9,851""W"
"Foz do Turvo","PCH","DRS-PCH","PR","8.5","da Areia","Parana, Iguacu","48500.000992/2017-17","875/2020","Dalba Engenharia e Empreendimentos Ltda. ","1571","7/16/2018","7/16/2021","25°49'45,3""S","51°18'29,86""W"
"Foz do Xaxim","UHE","Registro Ativo","SC","63.2","Chapecó","Uruguai, Chapeco,Passo Fundo e outros","48500.002365/2015-59","875/2020","Xaxim Energética S.A. ","1926","6/15/2015","8/15/2017","18°55'44""S","48°14'35""W"
"Foz dos Bandeirantes","PCH","DRI-PCH","PR","7.6","Pirapó","Parana, Paranapanema, Amambai e outros","48500.001694/2020-40","875/2020","Baer Participações Ltda ","1.416","5/21/2020","7/21/2021","22°53'16,02""S","52°4'44,1""W"
"Frei Rogério","PCH","DRS-PCH","SC","12.3","Marombas","Canoas","48500.004745/2010-13","875/2020","Energética Frei Rogério S.A. ","2.405","9/13/2019","10/19/2022","27°13'26""S","50°43'24""W"
"Fundãozinho","PCH","DRS-PCH","MS","22","Sucuriú","Parana, Verde , Peixe, e outros","48500.000829/2010-88","875/2020","Atiaia Energia S.A. ","2.548","9/26/2019","7/15/2021","18°59'8""S","53°10'8""W"
"Fundo","PCH","DRS-PCH","GO","5.9","Doce","Paranaiba","48500.000046/2011-85","875/2020","FR Incorporadora Ltda. ","776","3/19/2020","1/6/2023","17°58'38,747""S","51°12'43,536""W"
"Gado Bravo","PCH","DRS-PCH","MA","23","das Balsas","Parnaiba","48500.003613/2015-89","875/2020","Atiaia Energia S.A. ","774","3/19/2020","12/15/2022","7°41'8,23""S","46°10'8,66""W"
"Galante","PCH","DRS-PCH","MT","10.5","das Garças","Alto Araguaia e rio Claro","48500.005580/2011-88","875/2020","Garças Energias e Participações S.A.; Desa Rio das Garças Desenvolvimento Energético S.A.; ","1.917","7/7/2020","5/7/2023","16°31'11""S","53°26'29""W"
"Gamba","PCH","DRS-PCH","SC","13.5","Lava Tudo","Pelotas","48500.005070/2011-19","875/2020","Msul Energias Renováveis Ltda.; Trix Engenharia Civil Ltda.; ","3.386","12/16/2019","1/11/2023","28°10'15""S","50°10'59""W"
"Gamela","UHE","DRS-UHE","MG","36","Paranaíba","Paranaiba","48500.006185/2007-36","875/2020","Minas PCH S.A. ","3131","12/26/2018","12/26/2021","18°4'47""S","47°16'31""W"
"Garrafa","PCH","DRI-PCH","RS","6.16","Rio Camisas","Taquari","48500.005782/2019-87","875/2020","Jatir Turmina ","3.691","12/31/2019","2/28/2021","28°56'43,7""S","50°16'2,8""W"
"Gavião","PCH","DRS-PCH","BA/MG","22","Carinhanha","Corrente e outros - Sao Francisco","48500.006405/2010-27","875/2020","Minas PCH S.A. ","1.436","5/21/2020","3/10/2023","14°33'56,583""S","44°51'15,046""W"
"Geóloga Lucimar Gomes","PCH","DRS-PCH","MT","18","Cumbuco","Araguaia, trecho da ilha Bananal","48500.000807/2015-22","875/2020","Hidroelétrica Geóloga Lucimar Gomes Ltda. ","778","3/19/2020","2/16/2023","15°13'24,58""S","54°4'30,7""W"
"Glicério","PCH","DRS-PCH","RJ","11.2","São Pedro","Litoraneas do Rio de Janeiro","48100.000806/1996-30","875/2020","Quanta Geração S.A. ","1.436","5/21/2020","2/23/2023","22°14'20,7""S","42°4'32,6""W"
"Godoy Moreira","PCH","DRS-PCH","PR","11.3","Corumbataí","Parana, Paranapanema, Amambai e outros","48500.004742/2015-94","875/2020","Corumbataí Energia Ltda. ","1.218","5/5/2020","3/31/2023","24°13'34,8""S","51°58'48,6""W"
"Goiabeiras","PCH","DRS-PCH","SC","12.3","Chapecó","Uruguai, Chapeco,Passo Fundo e outros","48500.007462/2008-17","875/2020","Goiabeiras Geradora de Energia Elétrica Ltda. ","773","3/19/2020","11/22/2022","26°41'53""S","51°59'45""W"
"Grande","PCH","DRI-PCH","GO/MS","13.7","Aporé","Paranaiba","48500.003048/2020-17","875/2020","Enebras Projetos de Usinas Hidrelétricas; Ecoz – Empreendimentos Imobiliários Ltda; ","1.817","6/25/2020","8/25/2021","19°4'29""S","51°47'29""W"
"Grandes Rios","PCH","DRI-PCH","PR","28.53","Ivaí","Parana, Paranapanema, Amambai e outros","48500.004844/2009-61","875/2020","Paineira Participações e Empreendimentos Ltda ","2.384","8/17/2020","10/17/2021","24°10 '6,4''S","51°33'20,1''W"
"Guaipava","PCH","DRS-PCH","MG","25","Sapucaí","Grande","48500.003342/2014-81","875/2020","Minas PCH S.A.; Guerra Lage Engenheiros Associados Ltda.; ","3.365","12/6/2019","12/7/2022","21°35'27""S","45°39'49""W"
"Guapira II","PCH","DRS-PCH","MT","26.682","Cuiabá","Alto Paraguai","48500.001497/2017-25","875/2020","Maturati Participações S.A.; Meta Serviços e Projetos Ltda.; ","3177","9/27/2017","9/27/2020","15°33'05,42""S","56°10'05,58""W"
"Guaraciaba","PCH","DRS-PCH","MG","19.5","Piranga","Doce","48500.002651/2007-12","875/2020","Rima Industrial S.A. ","1263","5/10/2017","5/10/2020","20°34'36""S","43°1'15""W"
"Guarani","PCH","DRS-PCH","SC","29.1","Chapecozinho","Uruguai, Chapeco,Passo Fundo e outros","48500.001520/2009-71","875/2020","Enerbios Consultoria em Energias Renováveis e Meio Ambiente Ltda. ","1.020","5/10/2018","9/14/2021","26°46'34,66""S","52°30'7,85""W"
"Guariroba","PCH","DRS-PCH","GO","22","Verde","Paranaiba","48500.001405/2011-11","875/2020","TPI - Triunfo Participações e Investimentos S.A. ","2.323","8/28/2019","2/19/2022","18°58'30""S","50°57'39""W"
"Guatambú","PCH","DRS-PCH","SC","30","Pelotas","Pelotas","48500.001404/2012-58","875/2020","São Joaquim Energética S.A ","1389","5/22/2019","5/22/2022","28°29'42,91""S","50°9'45,51""W"
"Guaxatuba","PCH","DRS-PCH","SP","11.83","Tietê","Parana, Tiete e outros","48500.005524/2007-67","875/2020","Empresa Metropolitana de Águas e Energia S.A. - EMAE ","1.917","7/7/2020","5/18/2023","23°20'16,47""S","47°10'9,71""W"
"Guilhermão","PCH","DRS-PCH","GO/MS","24.001","Aporé","Paranaiba","48500.000898/2017-68","875/2020","Minas PCH S.A.; EDP Pequenas Centrais Elétricas S.A.; ","1.017","5/9/2018","5/9/2021","19°18'17,66""S","51°6'51,45""W"
"Guiratinga","PCH","DRS-PCH","MT","12.5","das Garças","Alto Araguaia e rio Claro","48500.005581/2011-22","875/2020","Garças Energias e Participações S.A.; Desa Rio das Garças Desenvolvimento Energético S.A.; ","740","3/22/2017","3/22/2020","16°25'28,34""S","53°29'58,42""W"
"Harmonia","PCH","DRS-PCH","GO","29.3","Tocantinzinho","Alto Tocantins e rio Preto","48500.005849/2016-31","875/2020","RC Administração e Participações S.A. ","2.636","8/28/2017","8/28/2020","14°25'6,94""S","47°43'45,28""W"
"Hortência","PCH","DRS-PCH","MT","14","Ariranha","Alto Paraguai","48500.001342/2011-01","875/2020","PEC Energia Ltda. ","1618","7/27/2018","7/27/2021","17°54'32""S","53°41'8""W"
"I12","PCH","DRS-PCH","SC","9.801","do Peixe","Uruguai, Inhanduva, Peixe e outros","48500.006167/2017-26","875/2020","Fornasa Geração de Energia Ltda.; Msul Energias Renováveis Ltda; ","2.326 (Comunicado nº 05/2020)","","","26°57'42,7""S","51°8'8,8""W"
"Iapó","PCH","DRS-PCH","PR","20.07","Iapó","Parana, Paranapanema, Amambai e outros","48500.003665/2006-20","875/2020","Tropeiro Energia Ltda. ","2701","11/27/2018","11/27/2021","24°31'8,34""S","50°17'51,8""W"
"Ibicaré","PCH","DRS-PCH","SC","6","do Peixe","Uruguai, Inhanduva, Peixe e outros","48500.003285/2011-97","875/2020","Cinética Ibicaré Energia Ltda. ","1.536/2016 (Cautelar nº 1936/2019)","","","27°5'31""S","51°21'9""W"
"Ibicuí I","PCH","DRS-PCH","SC","11.5","Ibicuí","Canoas","48500.002360/2005-56","875/2020","Centrais Elétricas Salto Correntes Ltda. ","1.003","3/24/2019","3/24/2021","27°32'25""S","51°10'36""W"
"Ijuizinho II","PCH","DRS-PCH","RS","22","Ijuizinho","Uruguai, Ijui, piratinim e outros","48500.003841/2002-27","875/2020","Energias Complementares do Brasil Geração de Energia Elétrica S.A. ","1.717","6/19/2019","4/14/2022","28°26'35""S","54°17'20""W"
"Indaiá","PCH","DRS-PCH","GO","11.4","do Peixe","Paranaiba","48500.003161/2011-10","875/2020","FR Incorporadora Ltda. ","28","1/8/2020","11/29/2022","17°21'36,17""S","48°32'18,84""W"
"Inferno","PCH","DRS-PCH","MG","9.7","Araguari","Paranaiba","48500.001596/2014-64","875/2020","Autazes Empreendimentos e Participações Ltda. ","250","2/3/2020","12/6/2022","19°51'14,10""S","47°11'21,65""W"
"Inocência","UHE","DRS-UHE","MS","48","Sucuriú","Paranaiba","48500.001441/2014-28","875/2020","Minas PCH S.A. e Energest S.A.; Energest S.A; ","3132","1/21/2018","1/21/2022","19°50'19,24""S","52°14'28,11""W"
"Iraí","UHE","Aceito","RS/SC","330","Uruguai","Uruguai, Varzea, Turvo e outros","48500.004966/2010-91","875/2020","Companhia Energética Uruguai ","2302","6/1/2011","","27°6'50""S","53°20'26""W"
"Iratambé I","PCH","DRS-PCH","MT","29.62","Cuiabá","Alto Paraguai","48500.002542/2016-88","875/2020","CER - Companhia de Energias Renováveis; Maturati Participações S.A.; Meta Serviços e Projetos Ltda","2132","7/24/2017","7/24/2020","15°20'28,04""S","56°16'37,33""W"
"Iratambé II","PCH","DRS-PCH","MT","20.137","Cuiabá","Alto Paraguai","48500.002543/2016-22","875/2020","CER - Companhia de Energias Renováveis; Maturati Participações S.A.; Meta Serviços e Projetos Ltda","1384","7/26/2017","7/26/2020","15°15'58,1""S","56°17'22,68""W"
"Itaguaçu","UHE","Registro Ativo","GO","151","Claro","Paranaiba","48500.003306/2000-31","875/2020","Consórcio Itaguaçu ","1.462","5/27/2020","12/31/2022","19°0'26""S","50°41'36""W"
"Itaguajé","PCH","DRI-PCH","PR","7","Pirapó","Parana, Paranapanema, Amambai e outros","48500.001693/2020-03","875/2020","Baer Participações Ltda ","1.415","5/21/2020","7/21/2021","22°37'13,4""S","51°59'55,3""W"
"Itaóca","PCH","DRS-PCH","PR/SP","29","Ribeira do Iguape","Ribeira do Iguape","48500.002647/2009-16","875/2020","Itaóca Energética Ltda ","3.153","11/14/2019","11/25/2022","24°40'14,065""S","48°51'36,769""W"
"Itapiranga","UHE","Registro Ativo","SC","724.6","Uruguai","Pelotas","48500.002965/2017-89","875/2020","Múltipla Participações Ltda. ","1.915","7/2/2020","6/16/2022","27°9'23""S","53°41'1""W"
