"Data de referência dos dados: 04 de setembro de 2020","","","","","","","","","","","","","",""
"Empreendimento","Tipo","Status","UF","Potência","Curso d'água","Sub-bacia","Processo","Resolução","Empreendedores","Ato","Data ato","Validade ato","Latitude Eixo Barramento","Longitude Eixo Barramento"
"Bela Vista","PCH","DRS-PCH","MG","10.7","Pomba","Paraiba do Sul","48500.001787/2016-98","875/2020","SBE - Sociedade Brasileira de Energia Renovável Ltda. ","3.201/2016 (Comunicado nº 08/2020)","","","21°27'50""S","42°20'7""W"
"Bem Querer J1A","UHE","Registro Ativo","RR","708.4","Branco","Negro","48500.005532/2011-90","875/2020","Empresa de Pesquisa Energética - EPE ","1.060","4/17/2020","7/31/2023","1°52'40""S","61°1'57""W"
"Boa Vista","PCH","Aceito","GO/TO","5.1","Mosquito","Tocantins, entre os rios Preto e Parana","48500.000161/2013-11","875/2020","JA Incorporadora Ltda. e CELG Geração e Transmissão S.A.; CELG Geração e Transmissão S.A; ","779","3/31/2014","","12°52'5,561""S","46°21'59,528""W"
"Boa Vista","PCH","DRS-PCH","GO","12","Doce","Paranaiba","48500.000043/2011-41","875/2020","FR Incorporadora Ltda. ","776","3/19/2020","1/6/2023","18°12'59,944""S","51°7'37,762""W"
"Boa Vista","PCH","DRS-PCH","MG","16","Pardo","Grande","48500.000923/2016-22","875/2020","DME Energética S.A. - DMEE ","1.218","5/5/2020","3/23/2020","21°42'47,213""S","46°26'58,424""W"
"Boa Vista","PCH","DRS-PCH","MG","8","Suaçuí Pequeno","Doce","48500.003699/2015-40","875/2020","Brix Empreendimentos Imobiliários Ltda. ","1.218","5/5/2020","3/23/2023","18°39'37,67""S","42°14'51,63""W"
"Boa Vista","PCH","DRS-PCH","RJ","14","Grande","Paraiba do Sul","48500.003278/2018-61","875/2020","Pequena Central Hidrelétrica Boa Vista Energética SPE Ltda. ","855","3/30/2020","3/30/2023","21°52'6,86""S","42°1'35,31""W"
"Boaventura","UHE","DRS-UHE","MT","38.1","das Garças","Alto Araguaia e rio Claro","48500.002083/2014-71","875/2020","Energias Complementares do Brasil Geração de Energia Elétrica S.A. ","4.145","12/14/2017","12/14/2020","15°51'18,07""S","52°30'59,44""W"
"Bocaina","PCH","DRI-PCH","MS","11","Negrinho","Alto Paraguai","48500.007094/2019-51","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda.; Frigorífico Nutribrás S.A.; ","826","3/24/2020","5/24/2021","19°15'39,05""S","55°0'17,46""W"
"Bocaina","PCH","DRS-PCH","MG","5.75","Ribeirão Jordão","Paranaiba","48500.000035/2014-48","875/2020","Autazes Empreendimentos e Participações Ltda. ","3.584","12/19/2019","8/18/2022","18º28’04’’S","48º05’46’W’"
"Bom Jardim","PCH","DRS-PCH","GO","6.3","Preto","Paranaiba","48500.004448/2011-59","875/2020","Omega Energia Renovável S.A. ","3.062","11/29/2016","11/29/2019","18°29'4""S","50°32'18""W"
"Bom Jesus","PCH","DRS-PCH","MT","8.75","Prata ou Tadarimana","Alto Paraguai","48500.003562/2016-76","875/2020","Bom Jesus Agropecuária Ltda. ","4.012","12/4/2017","12/4/2020","16°43'46,97""S","53°49'44,66""W"
"Bom Retiro","UHE","Registro Ativo","RS","35.18","Taquari","Taquari","27101.000463/1989-40","875/2020","Bom Retiro Energia Ltda. ","49-SPH/1.999 (Anulação Judicial nº 7.995/2019)","2/4/1999","","29°36'32,06""S","51°57'0,98""W"
"Bom Retiro","UHE","DRS-UHE","MG","31.0014","Piranga","Doce","48500.005880/2010-86","875/2020","CPFL Energias Renováveis S.A. ","858","3/27/2020","3/27/2023","20°25'53""S","42°59'14""W"
"Bom Retiro","PCH","DRS-PCH","SC","5.5","Irani","Uruguai, Chapeco,Passo Fundo e outros","48500.003529/2014-84","875/2020","Rafitec S/A Indústria e Comércio de Sacarias ","433/2016 (Comunicado nº 07/2019)","","","26°56'54,13""S","52°13'13,69""W"
"Bom Sucesso","PCH","DRS-PCH","GO","6","Doce","Paranaiba","48500.000044/2011-96","875/2020","FR Incorporadora Ltda. ","776","3/19/2020","1/6/2023","17°51'49,963""S","51°18'4,515""W"
"Bom Sucesso","PCH","DRS-PCH","GO","26.1","Tocantinzinho","Alto Tocantins e rio Preto","48500.005847/2016-41","875/2020","RC Administração e Participações S.A. ","2.634","8/28/2017","8/28/2020","14°24'29,77""S","47°46'25,52""W"
"Bonança","PCH","DRS-PCH","RJ","9.8","Grande","Paraiba do Sul","48500.000179/2008-56","875/2020","Desenvix S.A. ","3.199/2015 (Comunicado nº 06/2018)","","","22°1'28,26""S","42°3'1,4""W"
"Bonasera","PCH","DRS-PCH","RS","30","Erexim","Uruguai, Chapeco,Passo Fundo e outros","48500.002016/2011-11","875/2020","Bonasera Energética S.A. ","2.213","7/31/2020","12/25/2022","27°32'50,4""S","52°40'11,13""W"
"Bonfim de Baixo","PCH","DRS-PCH","MG","8.505","Matipó","Doce","48500.001391/2018-11","875/2020","Liberum Energia Participações Ltda ","2.632","9/27/2019","9/27/2022","20°11'30""S","42°20'47""W"
"Bongiorno","PCH","DRS-PCH","RS","21","Erexim","Uruguai, Chapeco,Passo Fundo e outros","48500.002014/2011-14","875/2020","Bongiorno Energética S.A. ","640","3/16/2017","3/16/2020","27°29'32""S","52°42'20""W"
