"Potência Outorgada (kW)","Potência Fiscalizada (kW)","Garantia Fisica (kW)","","","","","","","","","","","","","","","","","",""
"500.00","500","0","","","","","","","","","","","","","","","","","",""
"4,080.00","4080","2360","","","","","","","","","","","","","","","","","",""
"5,000.00","2944","3650","","","","","","","","","","","","","","","","","",""
"300.00","300","0","","","","","","","","","","","","","","","","","",""
"765.00","765","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","0","","","","","","","","","","","","","","","","","",""
"800.00","800","0","","","","","","","","","","","","","","","","","",""
"8,780.00","8860","0","","","","","","","","","","","","","","","","","",""
"9,400.00","9400","6180","","","","","","","","","","","","","","","","","",""
"18,012.00","18012","13530","","","","","","","","","","","","","","","","","",""
"50,000.00","50000","30800","","","","","","","","","","","","","","","","","",""
"636.00","636","0","","","","","","","","","","","","","","","","","",""
"528.00","528","240","","","","","","","","","","","","","","","","","",""
"1,260.00","1260","0","","","","","","","","","","","","","","","","","",""
"800.00","800","550","","","","","","","","","","","","","","","","","",""
"1,456.00","1456","0","","","","","","","","","","","","","","","","","",""
"800.00","800","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","0","","","","","","","","","","","","","","","","","",""
"880.00","880","730","","","","","","","","","","","","","","","","","",""
"320,000.00","320000","186000","","","","","","","","","","","","","","","","","",""
"112,000.00","112000","61800","","","","","","","","","","","","","","","","","",""
"950.00","950","0","","","","","","","","","","","","","","","","","",""
"352.00","352","0","","","","","","","","","","","","","","","","","",""
"525.00","525","0","","","","","","","","","","","","","","","","","",""
"130.40","130.4","0","","","","","","","","","","","","","","","","","",""
"105,000.00","105450","67900","","","","","","","","","","","","","","","","","",""
"300.00","300","0","","","","","","","","","","","","","","","","","",""
"83,657.00","83657","36600","","","","","","","","","","","","","","","","","",""
"990.00","990","0","","","","","","","","","","","","","","","","","",""
"180.00","180","110","","","","","","","","","","","","","","","","","",""
"800.00","800","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","0","","","","","","","","","","","","","","","","","",""
"140,000.00","140000","65300","","","","","","","","","","","","","","","","","",""
"768.00","768","110","","","","","","","","","","","","","","","","","",""
"78,000.00","78000","56100","","","","","","","","","","","","","","","","","",""
"7.20","7.2","0","","","","","","","","","","","","","","","","","",""
"4,505.00","4505","0","","","","","","","","","","","","","","","","","",""
"102,000.00","102000","75000","","","","","","","","","","","","","","","","","",""
"954.75","954.75","0","","","","","","","","","","","","","","","","","",""
"1,100.00","1100","650","","","","","","","","","","","","","","","","","",""
"424.00","424","150","","","","","","","","","","","","","","","","","",""
"60,000.00","60000","28000","","","","","","","","","","","","","","","","","",""
"440.30","440.3","0","","","","","","","","","","","","","","","","","",""
"704.00","704","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","580","","","","","","","","","","","","","","","","","",""
"288.00","288","0","","","","","","","","","","","","","","","","","",""
"800.00","800","0","","","","","","","","","","","","","","","","","",""
"297.00","297","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","670","","","","","","","","","","","","","","","","","",""
"650.00","500","0","","","","","","","","","","","","","","","","","",""
"1,600.00","1600","1070","","","","","","","","","","","","","","","","","",""
"800.00","800","0","","","","","","","","","","","","","","","","","",""
"1,616.00","1616","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","0","","","","","","","","","","","","","","","","","",""
"3,200.00","3200","0","","","","","","","","","","","","","","","","","",""
"999.00","999","0","","","","","","","","","","","","","","","","","",""
"588.00","588","0","","","","","","","","","","","","","","","","","",""
"680.00","680","0","","","","","","","","","","","","","","","","","",""
"3,000.00","0","1820","","","","","","","","","","","","","","","","","",""
"988.80","988.8","900","","","","","","","","","","","","","","","","","",""
"320.00","320","0","","","","","","","","","","","","","","","","","",""
"3,000.00","3000","1570","","","","","","","","","","","","","","","","","",""
"333,700.00","333700","0","","","","","","","","","","","","","","","","","",""
"1,416.00","1416","350","","","","","","","","","","","","","","","","","",""
"60,000.00","60000","37800","","","","","","","","","","","","","","","","","",""
"2,120.00","2120","530","","","","","","","","","","","","","","","","","",""
"1,500.00","1500","0","","","","","","","","","","","","","","","","","",""
"470.40","470.4","0","","","","","","","","","","","","","","","","","",""
"396,000.00","396000","239000","","","","","","","","","","","","","","","","","",""
"8,500.00","8500","3390","","","","","","","","","","","","","","","","","",""
"656.00","656","0","","","","","","","","","","","","","","","","","",""
"440.00","440","0","","","","","","","","","","","","","","","","","",""
"100.00","100","0","","","","","","","","","","","","","","","","","",""
"990.00","990","0","","","","","","","","","","","","","","","","","",""
"2,500.00","2500","0","","","","","","","","","","","","","","","","","",""
"990.00","990","0","","","","","","","","","","","","","","","","","",""
"20.00","20","0","","","","","","","","","","","","","","","","","",""
"16,500.00","16500","0","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
